,state,killed,injured,month,year
1830,California,0,5,April,2017
1831,California,1,5,April,2017
1832,Maryland,1,3,April,2017
1833,California,0,4,April,2017
1834,Virginia,0,4,April,2017
1835,Pennsylvania,0,4,April,2017
1836,New Jersey,1,3,April,2017
1837,Florida,0,4,April,2017
1838,Florida,2,2,April,2017
1839,Kentucky,0,4,April,2017
1840,California,0,4,April,2017
1841,North Carolina,0,4,April,2017
1842,Ohio,0,9,April,2017
1843,Illinois,0,4,April,2017
1844,Pennsylvania,0,4,April,2017
1845,Indiana,0,4,April,2017
1846,Alabama,0,6,April,2017
1847,Illinois,0,4,April,2017
1848,California,0,4,April,2017
1849,Georgia,1,3,April,2017
1850,Texas,1,3,April,2017
1851,Indiana,1,3,April,2017
1852,North Carolina,3,1,April,2017
1853,Texas,5,0,April,2017
1854,Minnesota,4,1,April,2017
1855,Illinois,1,5,April,2017
1856,Louisiana,1,3,April,2017
1857,Pennsylvania,3,1,April,2017
1858,Texas,0,7,April,2017
1859,Illinois,2,4,April,2017
1860,Iowa,0,5,April,2017
1861,California,0,5,April,2017
1862,Florida,1,4,April,2017
1863,Oklahoma,2,3,April,2017
1864,Illinois,4,0,March,2017
1865,Florida,2,4,March,2017
1866,Ohio,2,2,March,2017
1867,Texas,2,4,March,2017
1868,Ohio,2,15,March,2017
1869,Tennessee,1,4,March,2017
1870,Michigan,1,3,March,2017
1871,Ohio,2,2,March,2017
1872,California,1,4,March,2017
1873,Missouri,1,6,March,2017
1874,Wisconsin,5,0,March,2017
1875,Kentucky,1,5,March,2017
1876,Michigan,3,2,March,2017
1877,Louisiana,3,1,March,2017
1878,Illinois,2,2,March,2017
1879,Louisiana,3,1,March,2017
1880,Illinois,0,4,March,2017
1881,Georgia,0,4,March,2017
1882,Kansas,1,4,March,2017
1883,California,0,4,March,2017
1884,Pennsylvania,0,4,March,2017
1885,California,0,5,March,2017
1886,Ohio,0,6,February,2017
1887,Virginia,0,4,February,2017
1888,Indiana,1,4,February,2017
1889,Ohio,2,3,February,2017
1890,Florida,1,4,February,2017
1891,New York,0,4,February,2017
1892,Ohio,0,4,February,2017
1893,Mississippi,4,0,February,2017
1894,Ohio,0,5,February,2017
1895,Virginia,1,3,February,2017
1896,Pennsylvania,0,4,February,2017
1897,Indiana,1,3,February,2017
1898,California,0,4,February,2017
1899,Illinois,3,2,February,2017
1900,Missouri,1,6,February,2017
1901,New York,1,3,February,2017
1902,Florida,0,5,February,2017
1903,Illinois,1,3,February,2017
1904,Tennessee,0,4,February,2017
1905,Louisiana,1,5,February,2017
1906,Mississippi,4,0,February,2017
1907,Ohio,1,4,February,2017
1908,South Carolina,0,4,February,2017
1909,Arkansas,1,4,February,2017
1910,Mississippi,4,0,February,2017
1911,Tennessee,0,4,January,2017
1912,District of Columbia,0,4,January,2017
1913,Minnesota,0,4,January,2017
1914,Louisiana,1,4,January,2017
1915,Washington,4,0,January,2017
1916,Tennessee,0,10,January,2017
1917,Georgia,2,3,January,2017
1918,Illinois,0,6,January,2017
1919,Texas,3,2,January,2017
1920,Illinois,0,4,January,2017
1921,Georgia,3,1,January,2017
1922,Georgia,0,6,January,2017
1923,Florida,0,5,January,2017
1924,Tennessee,2,2,January,2017
1925,Mississippi,1,4,January,2017
1926,California,0,4,January,2017
1927,Texas,0,4,January,2017
1928,Florida,0,8,January,2017
1929,Colorado,3,1,January,2017
1930,Mississippi,1,4,January,2017
1931,Missouri,3,2,January,2017
1932,California,2,2,January,2017
1933,New Jersey,1,3,January,2017
1934,Illinois,1,3,January,2017
1935,Michigan,1,3,January,2017
1936,California,2,2,January,2017
1937,Florida,5,6,January,2017
1938,California,3,1,January,2017
1939,Texas,0,4,January,2017
1940,Mississippi,0,5,January,2017
1941,Texas,1,3,January,2017
1942,Florida,0,7,January,2017
1943,Georgia,2,2,December,2016
1944,Texas,1,3,December,2016
1945,Ohio,0,5,December,2016
1946,Connecticut,2,3,December,2016
1947,Georgia,1,4,December,2016
1948,Illinois,3,4,December,2016
1949,Alabama,0,4,December,2016
1950,New York,1,5,December,2016
1951,North Carolina,0,7,December,2016
1952,North Carolina,4,0,December,2016
1953,Alabama,1,3,December,2016
1954,Illinois,0,4,December,2016
1955,Illinois,5,0,December,2016
1956,North Carolina,0,4,December,2016
1957,Illinois,0,4,December,2016
1958,Illinois,2,2,December,2016
1959,California,1,3,December,2016
1960,New York,0,4,December,2016
1961,Florida,1,4,December,2016
1962,Maryland,0,5,December,2016
1963,North Carolina,0,4,December,2016
1964,Texas,4,0,December,2016
1965,California,0,4,December,2016
1966,New Mexico,4,1,December,2016
1967,California,0,6,December,2016
1968,New Jersey,0,6,December,2016
1969,California,1,3,December,2016
1970,Maryland,2,4,November,2016
1971,Texas,1,3,November,2016
1972,California,0,4,November,2016
1973,California,0,4,November,2016
1974,Louisiana,1,9,November,2016
1975,Missouri,0,7,November,2016
1976,Illinois,1,5,November,2016
1977,Louisiana,0,4,November,2016
1978,Kentucky,2,4,November,2016
1979,New York,1,3,November,2016
1980,Mississippi,0,4,November,2016
1981,Florida,1,4,November,2016
1982,Illinois,0,4,November,2016
1983,Tennessee,1,7,November,2016
1984,Florida,3,2,November,2016
1985,Texas,0,4,November,2016
1986,California,3,2,November,2016
1987,Florida,0,4,November,2016
1988,California,1,5,November,2016
1989,Missouri,1,3,November,2016
1990,Connecticut,0,5,November,2016
1991,Texas,0,4,November,2016
1992,Texas,1,3,November,2016
1993,Washington,0,5,November,2016
1994,Illinois,1,3,November,2016
1995,Tennessee,0,4,November,2016
1996,Texas,0,4,November,2016
1997,South Carolina,0,5,November,2016
1998,Florida,1,3,November,2016
1999,California,0,8,November,2016
2000,Illinois,0,5,November,2016
2001,Pennsylvania,0,4,November,2016
2002,Illinois,2,2,November,2016
2003,New Jersey,2,2,November,2016
2004,Arkansas,1,4,November,2016
2005,Tennessee,1,5,November,2016
2006,Louisiana,0,4,October,2016
2007,Ohio,0,4,October,2016
2008,Maryland,3,3,October,2016
2009,New York,0,4,October,2016
2010,New York,2,5,October,2016
2011,Texas,0,5,October,2016
2012,California,0,5,October,2016
2013,Ohio,1,3,October,2016
2014,California,0,4,October,2016
2015,Mississippi,0,6,October,2016
2016,Florida,0,4,October,2016
2017,Georgia,4,0,October,2016
2018,Ohio,1,3,October,2016
2019,Virginia,2,3,October,2016
2020,Oklahoma,1,5,October,2016
2021,California,0,7,October,2016
2022,California,0,4,October,2016
2023,Illinois,1,4,October,2016
2024,Alabama,0,5,October,2016
2025,Illinois,1,5,October,2016
2026,California,4,11,October,2016
2027,Illinois,1,6,October,2016
2028,Illinois,0,4,October,2016
2029,Michigan,1,8,October,2016
2030,California,1,3,October,2016
2031,New York,0,4,October,2016
2032,Louisiana,3,2,October,2016
2033,Minnesota,0,4,October,2016
2034,Texas,1,4,October,2016
2035,Illinois,4,0,October,2016
2036,California,0,4,October,2016
2037,California,1,3,September,2016
2038,North Carolina,0,4,September,2016
2039,Texas,0,4,September,2016
2040,Texas,1,6,September,2016
2041,Illinois,1,3,September,2016
2042,Maryland,0,8,September,2016
2043,Washington,5,0,September,2016
2044,Pennsylvania,0,4,September,2016
2045,Pennsylvania,0,4,September,2016
2046,Virginia,1,3,September,2016
2047,District of Columbia,2,7,September,2016
2048,Florida,0,6,September,2016
2049,Florida,1,6,September,2016
2050,Indiana,2,2,September,2016
2051,California,2,2,September,2016
2052,Pennsylvania,2,5,September,2016
2053,Texas,1,3,September,2016
2054,Indiana,3,2,September,2016
2055,Louisiana,1,5,September,2016
2056,Missouri,0,6,September,2016
2057,Michigan,0,5,September,2016
2058,North Carolina,0,5,September,2016
2059,Indiana,3,1,September,2016
2060,New Jersey,1,3,September,2016
2061,Florida,1,3,September,2016
2062,Texas,4,0,September,2016
2063,Arkansas,1,4,September,2016
2064,Illinois,2,3,September,2016
2065,Pennsylvania,0,4,September,2016
2066,Virginia,1,10,September,2016
2067,North Carolina,1,3,September,2016
2068,Illinois,0,4,September,2016
2069,Georgia,0,4,August,2016
2070,Illinois,0,4,August,2016
2071,New Jersey,1,5,August,2016
2072,Texas,0,6,August,2016
2073,New York,0,4,August,2016
2074,Missouri,2,2,August,2016
2075,Alabama,0,5,August,2016
2076,Alabama,1,6,August,2016
2077,Florida,2,4,August,2016
2078,New Jersey,0,5,August,2016
2079,Massachusetts,0,4,August,2016
2080,Connecticut,0,13,August,2016
2081,Connecticut,0,4,August,2016
2082,Washington,0,5,August,2016
2083,Alabama,5,0,August,2016
2084,Connecticut,0,4,August,2016
2085,California,0,4,August,2016
2086,Virginia,0,4,August,2016
2087,Minnesota,0,5,August,2016
2088,California,0,4,August,2016
2089,Wisconsin,2,2,August,2016
2090,New York,0,4,August,2016
2091,Missouri,0,4,August,2016
2092,Florida,1,3,August,2016
2093,Texas,1,3,August,2016
2094,Pennsylvania,0,4,August,2016
2095,Illinois,0,4,August,2016
2096,California,1,3,August,2016
2097,Florida,0,7,August,2016
2098,New Mexico,2,2,August,2016
2099,California,1,3,August,2016
2100,Colorado,2,2,August,2016
2101,Mississippi,1,3,August,2016
2102,Illinois,0,4,August,2016
2103,Pennsylvania,5,0,August,2016
2104,Michigan,1,3,August,2016
2105,California,2,2,August,2016
2106,Tennessee,0,4,August,2016
2107,Georgia,1,3,August,2016
2108,Florida,0,4,August,2016
2109,Indiana,0,4,August,2016
2110,Florida,3,1,July,2016
2111,Texas,1,4,July,2016
2112,Missouri,0,5,July,2016
2113,Washington,3,1,July,2016
2114,Georgia,0,5,July,2016
2115,Georgia,0,7,July,2016
2116,New York,0,5,July,2016
2117,Maryland,0,4,July,2016
2118,Illinois,2,2,July,2016
2119,Florida,2,19,July,2016
2120,Ohio,1,7,July,2016
2121,South Carolina,0,4,July,2016
2122,Ohio,2,2,July,2016
2123,New York,0,4,July,2016
2124,Texas,4,1,July,2016
2125,Illinois,0,5,July,2016
2126,Illinois,0,5,July,2016
2127,California,0,4,July,2016
2128,Arkansas,0,4,July,2016
2129,Michigan,0,4,July,2016
2130,Louisiana,4,3,July,2016
2131,Texas,1,3,July,2016
2132,Texas,0,5,July,2016
2133,Ohio,0,5,July,2016
2134,California,1,14,July,2016
2135,California,0,4,July,2016
2136,Tennessee,0,6,July,2016
2137,Washington,3,1,July,2016
2138,Texas,3,1,July,2016
2139,California,0,4,July,2016
2140,Ohio,1,3,July,2016
2141,Georgia,0,5,July,2016
2142,Missouri,2,2,July,2016
2143,Maryland,0,5,July,2016
2144,Michigan,0,4,July,2016
2145,Michigan,3,2,July,2016
2146,District of Columbia,0,4,July,2016
2147,Louisiana,0,4,July,2016
2148,Texas,5,9,July,2016
2149,Tennessee,1,4,July,2016
2150,California,0,4,July,2016
2151,New York,0,7,July,2016
2152,Texas,3,2,July,2016
2153,Pennsylvania,0,4,July,2016
2154,Illinois,0,4,July,2016
2155,Ohio,0,4,July,2016
2156,Arizona,2,6,July,2016
2157,Louisiana,2,3,July,2016
2158,Tennessee,0,4,July,2016
2159,Illinois,1,4,June,2016
2160,Nevada,5,0,June,2016
2161,California,1,3,June,2016
2162,Illinois,0,4,June,2016
2163,Oregon,3,1,June,2016
2164,South Carolina,0,4,June,2016
2165,North Carolina,0,5,June,2016
2166,Georgia,1,4,June,2016
2167,Texas,1,3,June,2016
2168,Texas,0,4,June,2016
2169,Texas,2,5,June,2016
2170,Virginia,0,4,June,2016
2171,Illinois,0,4,June,2016
2172,Kansas,0,4,June,2016
2173,Connecticut,0,5,June,2016
2174,Maryland,3,2,June,2016
2175,Georgia,1,3,June,2016
2176,Washington,3,1,June,2016
2177,Illinois,0,4,June,2016
2178,New Jersey,0,4,June,2016
2179,Kentucky,2,2,June,2016
2180,Virginia,0,4,June,2016
2181,Virginia,1,3,June,2016
2182,Georgia,2,2,June,2016
2183,Illinois,0,4,June,2016
2184,California,1,3,June,2016
2185,Delaware,0,4,June,2016
2186,California,0,4,June,2016
2187,New York,0,5,June,2016
2188,Illinois,0,5,June,2016
2189,Florida,50,53,June,2016
2190,Minnesota,0,4,June,2016
2191,North Carolina,1,3,June,2016
2192,California,1,3,June,2016
2193,New Mexico,5,0,June,2016
2194,California,3,2,June,2016
2195,Florida,0,4,June,2016
2196,District of Columbia,0,4,June,2016
2197,Massachusetts,1,3,June,2016
2198,California,0,4,June,2016
2199,Arizona,2,4,June,2016
2200,Minnesota,0,4,June,2016
2201,Florida,3,3,June,2016
2202,New York,0,4,June,2016
2203,Colorado,3,1,June,2016
2204,Illinois,0,4,May,2016
2205,Indiana,0,4,May,2016
2206,Maryland,0,5,May,2016
2207,California,0,5,May,2016
2208,Nevada,0,4,May,2016
2209,New Jersey,0,6,May,2016
2210,Indiana,0,4,May,2016
2211,Texas,2,6,May,2016
2212,New Jersey,0,5,May,2016
2213,Louisiana,0,4,May,2016
2214,California,1,3,May,2016
2215,Tennessee,0,4,May,2016
2216,Georgia,1,3,May,2016
2217,Indiana,0,4,May,2016
2218,South Carolina,3,1,May,2016
2219,Georgia,5,0,May,2016
2220,Indiana,0,4,May,2016
2221,Georgia,0,5,May,2016
2222,West Virginia,1,3,May,2016
2223,Alabama,1,4,May,2016
2224,Illinois,0,5,May,2016
2225,Texas,1,3,May,2016
2226,Michigan,1,4,May,2016
2227,Alabama,1,3,May,2016
2228,Maryland,3,3,May,2016
2229,Louisiana,2,6,May,2016
2230,Florida,1,3,May,2016
2231,Minnesota,1,7,May,2016
2232,Tennessee,0,5,May,2016
2233,Missouri,0,4,April,2016
2234,California,0,5,April,2016
2235,Louisiana,2,2,April,2016
2236,Mississippi,3,1,April,2016
2237,Maryland,1,4,April,2016
2238,Tennessee,0,4,April,2016
2239,Florida,0,5,April,2016
2240,Virginia,0,5,April,2016
2241,Illinois,2,3,April,2016
2242,Colorado,0,4,April,2016
2243,Nevada,1,3,April,2016
2244,Alabama,3,1,April,2016
2245,New York,0,4,April,2016
2246,Kansas,1,4,April,2016
2247,Ohio,8,0,April,2016
2248,Georgia,6,0,April,2016
2249,Maryland,0,4,April,2016
2250,Alabama,1,4,April,2016
2251,Illinois,1,3,April,2016
2252,Illinois,1,4,April,2016
2253,California,1,3,April,2016
2254,Pennsylvania,3,1,April,2016
2255,South Carolina,1,3,April,2016
2256,Texas,1,6,April,2016
2257,Michigan,1,4,April,2016
2258,Florida,2,4,April,2016
2259,Alabama,0,4,April,2016
2260,Wisconsin,1,3,April,2016
2261,California,0,4,April,2016
2262,Tennessee,0,4,April,2016
2263,Alabama,0,4,April,2016
2264,New Mexico,0,4,April,2016
2265,Illinois,0,4,April,2016
2266,Illinois,0,4,March,2016
2267,Illinois,0,4,March,2016
2268,Colorado,0,4,March,2016
2269,Illinois,0,4,March,2016
2270,Florida,1,4,March,2016
2271,Alabama,2,2,March,2016
2272,Georgia,0,5,March,2016
2273,Florida,0,4,March,2016
2274,Oregon,0,4,March,2016
2275,California,0,4,March,2016
2276,Michigan,2,2,March,2016
2277,New Jersey,0,5,March,2016
2278,Pennsylvania,6,2,March,2016
2279,Texas,2,3,March,2016
2280,Louisiana,0,4,March,2016
2281,Kansas,5,0,March,2016
2282,Massachusetts,1,6,March,2016
2283,Georgia,0,4,March,2016
2284,California,1,8,March,2016
2285,Kansas,0,4,March,2016
2286,Ohio,1,3,March,2016
2287,Michigan,0,5,February,2016
2288,California,1,3,February,2016
2289,Virginia,2,2,February,2016
2290,Washington,5,0,February,2016
2291,Kansas,4,14,February,2016
2292,Arizona,5,0,February,2016
2293,Florida,0,4,February,2016
2294,Texas,0,5,February,2016
2295,Missouri,1,3,February,2016
2296,Florida,1,3,February,2016
2297,Michigan,6,2,February,2016
2298,Alabama,1,3,February,2016
2299,Florida,0,4,February,2016
2300,Mississippi,2,3,February,2016
2301,Missouri,4,0,February,2016
2302,California,1,3,February,2016
2303,Texas,1,3,February,2016
2304,Alabama,0,5,February,2016
2305,Louisiana,0,4,February,2016
2306,Mississippi,2,4,February,2016
2307,Florida,2,10,February,2016
2308,New York,1,7,February,2016
2309,Illinois,0,4,February,2016
2310,California,1,3,February,2016
2311,Florida,0,4,February,2016
2312,Florida,2,6,February,2016
2313,District of Columbia,0,4,February,2016
2314,Arizona,3,5,January,2016
2315,Virginia,6,0,January,2016
2316,Washington,2,3,January,2016
2317,California,1,4,January,2016
2318,California,2,2,January,2016
2319,Virginia,1,3,January,2016
2320,Delaware,1,4,January,2016
2321,District of Columbia,0,4,January,2016
2322,Illinois,1,4,January,2016
2323,Tennessee,1,3,January,2016
2324,Florida,3,1,January,2016
2325,Louisiana,0,6,December,2015
2326,Tennessee,0,4,December,2015
2327,Pennsylvania,0,4,December,2015
2328,Florida,0,4,December,2015
2329,Alabama,0,4,December,2015
2330,California,0,4,December,2015
2331,North Carolina,1,4,December,2015
2332,Florida,0,4,December,2015
2333,Florida,1,4,December,2015
2334,California,1,3,December,2015
2335,California,0,4,December,2015
2336,Illinois,1,3,December,2015
2337,Georgia,0,4,December,2015
2338,Maryland,1,3,December,2015
2339,Pennsylvania,0,4,December,2015
2340,Ohio,1,3,December,2015
2341,Louisiana,1,3,December,2015
2342,Nebraska,2,3,December,2015
2343,California,16,19,December,2015
2344,Georgia,1,3,December,2015
2345,Illinois,0,5,November,2015
2346,Colorado,3,9,November,2015
2347,California,2,2,November,2015
2348,South Carolina,0,4,November,2015
2349,Ohio,4,1,November,2015
2350,Minnesota,0,5,November,2015
2351,Texas,0,4,November,2015
2352,Washington,0,4,November,2015
2353,New York,0,5,November,2015
2354,South Carolina,1,3,November,2015
2355,Illinois,0,4,November,2015
2356,Louisiana,0,17,November,2015
2357,Maryland,1,3,November,2015
2358,Pennsylvania,1,3,November,2015
2359,California,0,5,November,2015
2360,Alabama,3,1,November,2015
2361,Texas,5,0,November,2015
2362,Pennsylvania,0,4,November,2015
2363,Pennsylvania,0,4,November,2015
2364,Florida,4,1,November,2015
2365,Indiana,2,2,November,2015
2366,Iowa,1,3,November,2015
2367,Michigan,0,4,November,2015
2368,Colorado,1,3,November,2015
2369,California,0,4,November,2015
2370,Florida,2,3,November,2015
2371,South Carolina,4,0,November,2015
2372,Louisiana,1,3,October,2015
2373,Texas,0,5,October,2015
2374,Indiana,0,5,October,2015
2375,Arizona,1,4,October,2015
2376,District of Columbia,0,5,October,2015
2377,North Carolina,0,5,October,2015
2378,South Carolina,0,4,October,2015
2379,Tennessee,1,3,October,2015
2380,Illinois,0,6,October,2015
2381,Louisiana,0,4,October,2015
2382,Indiana,0,4,October,2015
2383,Florida,1,4,October,2015
2384,Georgia,0,4,October,2015
2385,Tennessee,0,6,October,2015
2386,North Carolina,0,4,October,2015
2387,Illinois,1,3,October,2015
2388,Arizona,1,3,October,2015
2389,Maryland,0,5,October,2015
2390,Maryland,1,4,October,2015
2391,Oregon,10,9,October,2015
2392,Ohio,0,5,September,2015
2393,Illinois,3,2,September,2015
2394,Illinois,2,3,September,2015
2395,Ohio,0,4,September,2015
2396,Georgia,0,10,September,2015
2397,Illinois,0,4,September,2015
2398,Missouri,0,4,September,2015
2399,Illinois,0,4,September,2015
2400,Illinois,0,5,September,2015
2401,Florida,0,4,September,2015
2402,Louisiana,0,5,September,2015
2403,Georgia,1,3,September,2015
2404,Oklahoma,0,6,September,2015
2405,Pennsylvania,1,3,September,2015
2406,Illinois,1,5,September,2015
2407,Indiana,1,3,September,2015
2408,South Dakota,6,0,September,2015
2409,Michigan,0,4,September,2015
2410,New Jersey,0,4,September,2015
2411,Florida,1,5,September,2015
2412,Louisiana,0,4,September,2015
2413,New York,2,4,September,2015
2414,Minnesota,0,6,September,2015
2415,Minnesota,1,3,September,2015
2416,North Carolina,0,5,September,2015
2417,Minnesota,5,0,September,2015
2418,Georgia,0,4,September,2015
2419,Illinois,0,4,September,2015
2420,Indiana,2,4,September,2015
2421,Colorado,0,4,September,2015
2422,North Carolina,1,3,September,2015
2423,Florida,0,4,September,2015
2424,Nevada,1,3,September,2015
2425,Missouri,0,4,September,2015
2426,Tennessee,1,4,August,2015
2427,Tennessee,3,2,August,2015
2428,Texas,1,3,August,2015
2429,New York,1,3,August,2015
2430,California,2,2,August,2015
2431,Minnesota,0,4,August,2015
2432,Illinois,2,2,August,2015
2433,Florida,2,2,August,2015
2434,Louisiana,1,3,August,2015
2435,California,1,7,August,2015
2436,Florida,0,4,August,2015
2437,New Mexico,3,1,August,2015
2438,North Carolina,0,8,August,2015
2439,Ohio,2,5,August,2015
2440,New York,3,4,August,2015
2441,Texas,0,6,August,2015
2442,Illinois,0,4,August,2015
2443,South Carolina,0,5,August,2015
2444,Pennsylvania,1,3,August,2015
2445,California,0,4,August,2015
2446,South Carolina,1,3,August,2015
2447,California,0,4,August,2015
2448,Mississippi,1,3,August,2015
2449,Michigan,1,3,August,2015
2450,Missouri,0,4,August,2015
2451,North Carolina,2,3,August,2015
2452,Arkansas,1,11,August,2015
2453,Texas,8,0,August,2015
2454,Vermont,4,0,August,2015
2455,South Carolina,0,4,August,2015
2456,Missouri,1,4,August,2015
2457,New York,0,5,August,2015
2458,New York,0,9,August,2015
2459,Maryland,0,7,August,2015
2460,Illinois,1,4,August,2015
2461,Georgia,0,5,August,2015
2462,Illinois,0,4,August,2015
2463,Florida,0,4,August,2015
2464,Pennsylvania,0,4,July,2015
2465,Illinois,0,5,July,2015
2466,Missouri,2,3,July,2015
2467,Louisiana,0,4,July,2015
2468,Virginia,0,4,July,2015
2469,Pennsylvania,2,5,July,2015
2470,Louisiana,3,9,July,2015
2471,Missouri,0,6,July,2015
2472,Georgia,5,0,July,2015
2473,Florida,1,3,July,2015
2474,New York,0,6,July,2015
2475,Virginia,0,4,July,2015
2476,Kentucky,0,6,July,2015
2477,North Carolina,0,4,July,2015
2478,California,0,4,July,2015
2479,California,0,5,July,2015
2480,Oregon,1,4,July,2015
2481,Louisiana,2,2,July,2015
2482,Illinois,0,5,July,2015
2483,Ohio,0,4,July,2015
2484,District of Columbia,1,3,July,2015
2485,Texas,0,5,July,2015
2486,Tennessee,6,2,July,2015
2487,Georgia,0,5,July,2015
2488,Maryland,1,3,July,2015
2489,Ohio,0,7,July,2015
2490,Michigan,0,4,July,2015
2491,South Carolina,4,1,July,2015
2492,Missouri,0,4,July,2015
2493,California,0,4,July,2015
2494,California,1,4,July,2015
2495,Illinois,2,3,July,2015
2496,New Jersey,0,4,July,2015
2497,Ohio,1,3,July,2015
2498,Maryland,3,1,July,2015
2499,Louisiana,0,6,July,2015
2500,Indiana,0,9,July,2015
2501,New Jersey,1,3,July,2015
2502,Kentucky,0,4,July,2015
2503,Massachusetts,1,4,July,2015
2504,District of Columbia,1,3,July,2015
2505,New York,0,4,July,2015
2506,Texas,0,4,July,2015
2507,Indiana,1,3,July,2015
2508,Florida,0,4,June,2015
2509,Illinois,0,6,June,2015
2510,Michigan,0,5,June,2015
2511,Delaware,0,6,June,2015
2512,Massachusetts,1,3,June,2015
2513,Michigan,0,4,June,2015
2514,New York,0,4,June,2015
2515,Pennsylvania,0,7,June,2015
2516,Pennsylvania,0,4,June,2015
2517,Kentucky,1,4,June,2015
2518,Pennsylvania,0,10,June,2015
2519,North Carolina,0,4,June,2015
2520,Michigan,1,11,June,2015
2521,Rhode Island,0,4,June,2015
2522,South Carolina,9,0,June,2015
2523,Florida,0,4,June,2015
2524,New York,0,4,June,2015
2525,New Jersey,1,3,June,2015
2526,Oklahoma,0,4,June,2015
2527,Missouri,0,4,June,2015
2528,Georgia,1,4,June,2015
2529,Oklahoma,0,4,June,2015
2530,Georgia,1,3,June,2015
2531,New York,0,5,June,2015
2532,Ohio,4,1,June,2015
2533,Florida,0,4,June,2015
2534,Connecticut,1,8,June,2015
2535,Texas,1,3,June,2015
2536,California,1,3,June,2015
2537,Missouri,1,3,June,2015
2538,Montana,5,0,June,2015
2539,New York,1,4,June,2015
2540,Illinois,0,5,June,2015
2541,Iowa,0,5,June,2015
2542,Louisiana,1,3,June,2015
2543,New York,3,1,June,2015
2544,Georgia,3,2,May,2015
2545,Ohio,3,1,May,2015
2546,Maryland,1,3,May,2015
2547,Connecticut,0,5,May,2015
2548,California,0,4,May,2015
2549,Nebraska,0,4,May,2015
2550,Illinois,0,5,May,2015
2551,Pennsylvania,1,3,May,2015
2552,Louisiana,2,2,May,2015
2553,Illinois,1,4,May,2015
2554,Massachusetts,0,5,May,2015
2555,Michigan,0,7,May,2015
2556,Alabama,1,3,May,2015
2557,Missouri,0,4,May,2015
2558,California,2,2,May,2015
2559,Maryland,1,3,May,2015
2560,Missouri,0,4,May,2015
2561,Florida,1,4,May,2015
2562,Texas,9,18,May,2015
2563,Wisconsin,0,5,May,2015
2564,New York,0,4,May,2015
2565,Maryland,0,5,May,2015
2566,Arizona,5,0,May,2015
2567,Maryland,1,4,May,2015
2568,Ohio,1,4,May,2015
2569,New Jersey,0,4,May,2015
2570,New Jersey,1,3,May,2015
2571,Ohio,0,4,May,2015
2572,Michigan,0,4,May,2015
2573,New York,1,3,May,2015
2574,Indiana,0,4,May,2015
2575,New York,0,4,May,2015
2576,Ohio,1,6,May,2015
2577,Texas,0,6,May,2015
2578,Wisconsin,4,1,May,2015
2579,Wisconsin,2,3,May,2015
2580,New York,2,4,April,2015
2581,Arizona,2,2,April,2015
2582,New Jersey,0,4,April,2015
2583,New York,1,6,April,2015
2584,Texas,2,3,April,2015
2585,Virginia,0,4,April,2015
2586,Alabama,0,5,April,2015
2587,Pennsylvania,0,5,April,2015
2588,North Carolina,1,3,April,2015
2589,North Carolina,0,4,April,2015
2590,New Jersey,1,3,April,2015
2591,Arizona,5,0,April,2015
2592,Georgia,1,3,April,2015
2593,Pennsylvania,1,3,April,2015
2594,Kentucky,1,4,April,2015
2595,Indiana,0,5,April,2015
2596,Michigan,0,4,April,2015
2597,Florida,0,4,April,2015
2598,Maryland,0,5,April,2015
2599,Florida,0,7,March,2015
2600,Texas,0,4,March,2015
2601,Indiana,4,0,March,2015
2602,Tennessee,1,4,March,2015
2603,New Mexico,1,6,March,2015
2604,Florida,0,4,March,2015
2605,Oklahoma,0,4,March,2015
2606,Texas,1,5,March,2015
2607,New Jersey,1,3,March,2015
2608,Arizona,1,5,March,2015
2609,California,3,4,March,2015
2610,California,0,4,March,2015
2611,Georgia,0,5,March,2015
2612,California,0,4,March,2015
2613,Mississippi,2,3,March,2015
2614,Georgia,0,5,March,2015
2615,Illinois,1,3,March,2015
2616,South Carolina,1,3,March,2015
2617,Missouri,0,4,March,2015
2618,California,3,4,March,2015
2619,Florida,0,4,March,2015
2620,Michigan,1,5,March,2015
2621,Maryland,1,3,February,2015
2622,Missouri,8,1,February,2015
2623,Texas,3,1,February,2015
2624,Florida,0,4,February,2015
2625,Texas,4,1,February,2015
2626,South Carolina,0,4,February,2015
2627,Georgia,3,2,February,2015
2628,California,0,4,February,2015
2629,Arkansas,1,3,February,2015
2630,California,0,5,February,2015
2631,Florida,3,1,February,2015
2632,Tennessee,0,6,February,2015
2633,Georgia,5,2,February,2015
2634,Oklahoma,1,4,February,2015
2635,Ohio,3,3,February,2015
2636,New York,0,6,February,2015
2637,New York,1,4,February,2015
2638,Georgia,4,0,January,2015
2639,Georgia,1,3,January,2015
2640,California,1,3,January,2015
2641,New York,4,1,January,2015
2642,Nebraska,3,5,January,2015
2643,Massachusetts,0,6,January,2015
2644,Tennessee,1,3,January,2015
2645,Texas,2,5,January,2015
2646,Illinois,2,2,January,2015
2647,Virginia,0,5,January,2015
2648,North Carolina,2,5,January,2015
2649,Florida,1,3,January,2015
2650,California,0,5,January,2015
2651,Kansas,2,2,January,2015
2652,California,4,0,January,2015
2653,Massachusetts,1,3,January,2015
2654,Tennessee,1,3,January,2015
2655,Florida,1,3,January,2015
2656,Virginia,2,4,January,2015
2657,Texas,3,1,January,2015
2658,Georgia,1,4,January,2015
2659,Tennessee,0,5,January,2015
